,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,GB_pred,Log_pred,RF_pred,Xgb_pred,GB_label,Log_label,RF_label,Xgb_label
31,2.0,24.0,2.0,0.0,31.5,0.0,1.0,0.0,0.0,1.0,0.8857,0.8445,0.96,0.9373999834060669,0,0,0,0
32,3.0,33.0,1.0,2.0,20.575,1.0,0.0,0.0,0.0,1.0,0.5942,0.5428,0.42,0.4059999883174896,0,0,1,1
33,3.0,30.272590361445783,1.0,2.0,23.45,1.0,0.0,0.0,0.0,1.0,0.6897,0.5144,0.88,0.8194000124931335,0,0,0,0
34,1.0,30.0,1.0,0.0,57.75,0.0,1.0,1.0,0.0,0.0,0.6259,0.4884,0.54,0.5946000218391418,0,1,0,0
35,3.0,18.5,0.0,0.0,7.2292,0.0,1.0,1.0,0.0,0.0,0.827,0.8338,0.46,0.696399986743927,0,0,1,0
36,3.0,30.272590361445783,0.0,0.0,8.05,1.0,0.0,0.0,0.0,1.0,0.494,0.4446,0.92,0.8689000010490417,1,1,0,0
37,3.0,21.0,0.0,0.0,8.6625,1.0,0.0,0.0,0.0,1.0,0.5803,0.3519,0.8,0.9459999799728394,0,1,0,0
38,3.0,25.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0,1.0,0.9146,0.9069,1.0,0.9933000206947327,0,0,0,0
39,3.0,30.272590361445783,0.0,0.0,56.4958,0.0,1.0,0.0,0.0,1.0,0.8419,0.9241,0.74,0.7703999876976013,0,0,0,0
40,3.0,39.0,0.0,1.0,13.4167,0.0,1.0,1.0,0.0,0.0,0.8461,0.9194,0.72,0.9517999887466431,0,0,0,0
41,1.0,30.272590361445783,0.0,0.0,26.55,0.0,1.0,0.0,0.0,1.0,0.7177,0.5007,0.5567,0.42179998755455017,0,0,0,1
42,3.0,41.0,0.0,0.0,7.85,0.0,1.0,0.0,0.0,1.0,0.9177,0.9501,0.77,0.9368000030517578,0,0,0,0
43,2.0,30.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,0.1741,0.1853,0.0,0.0284000001847744,1,1,1,1
44,1.0,45.0,1.0,0.0,52.5542,1.0,0.0,0.0,0.0,1.0,0.0645,0.1485,0.02,0.03220000118017197,1,1,1,1
45,3.0,25.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0,1.0,0.8773,0.9069,1.0,0.9739000201225281,0,0,0,0
46,1.0,45.0,0.0,0.0,29.7,0.0,1.0,1.0,0.0,0.0,0.4833,0.5567,0.38,0.6585000157356262,1,0,1,0
47,3.0,30.272590361445783,0.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.88,1.0,0.9751999974250793,0,0,0,0
48,1.0,60.0,0.0,0.0,76.2917,1.0,0.0,1.0,0.0,0.0,0.0675,0.1346,0.06,0.023099999874830246,1,1,1,1
49,3.0,36.0,0.0,2.0,15.9,1.0,0.0,0.0,0.0,1.0,0.5324,0.4862,0.44,0.5194000005722046,0,1,1,0
50,1.0,24.0,1.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.705,0.5236,0.8,0.880299985408783,0,0,0,0
51,2.0,27.0,0.0,0.0,15.0333,0.0,1.0,1.0,0.0,0.0,0.9038,0.6729,0.6,0.8349999785423279,0,0,0,0
52,2.0,20.0,2.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,0.1526,0.226,0.16,0.16030000150203705,1,1,1,1
53,1.0,28.0,3.0,2.0,263.0,1.0,0.0,0.0,0.0,1.0,0.1494,0.1399,0.06,0.23899999260902405,1,1,1,1
54,2.0,30.272590361445783,0.0,0.0,15.5792,0.0,1.0,1.0,0.0,0.0,0.8923,0.7023,0.66,0.8378000259399414,0,0,0,0
55,3.0,10.0,4.0,1.0,29.125,0.0,1.0,0.0,1.0,0.0,0.9054,0.9253,0.94,0.9722999930381775,0,0,0,0
56,3.0,35.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.8753,0.9367,0.98,0.9829999804496765,0,0,0,0
57,3.0,25.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0,1.0,0.9092,0.9069,1.0,0.948199987411499,0,0,0,0
58,3.0,30.272590361445783,1.0,0.0,16.1,0.0,1.0,0.0,0.0,1.0,0.9012,0.9453,1.0,0.9675999879837036,0,0,0,0
59,1.0,36.0,0.0,0.0,262.375,1.0,0.0,1.0,0.0,0.0,0.0468,0.0544,0.0,0.01899999938905239,1,1,1,1
60,3.0,17.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.8835,0.8745,0.9,0.8583999872207642,0,0,0,0
61,2.0,32.0,0.0,0.0,13.5,0.0,1.0,0.0,0.0,1.0,0.7614,0.7895,0.6697,0.5371000170707703,0,0,0,0
62,3.0,18.0,0.0,0.0,7.75,0.0,1.0,0.0,0.0,1.0,0.9218,0.879,0.98,0.9570000171661377,0,0,0,0
63,3.0,22.0,0.0,0.0,7.725,1.0,0.0,0.0,1.0,0.0,0.2636,0.2548,0.5,0.16740000247955322,1,1,0,1
64,1.0,13.0,2.0,2.0,262.375,0.0,1.0,1.0,0.0,0.0,0.2653,0.3851,0.48,0.6571999788284302,1,1,1,0
65,2.0,30.272590361445783,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.1813,0.1871,0.02,0.053599998354911804,1,1,1,1
66,3.0,18.0,0.0,0.0,7.8792,1.0,0.0,0.0,1.0,0.0,0.2445,0.2243,0.1,0.06909999996423721,1,1,1,1
67,1.0,47.0,0.0,0.0,42.4,0.0,1.0,0.0,0.0,1.0,0.7362,0.669,1.0,0.9575999975204468,0,0,0,0
68,1.0,31.0,0.0,0.0,28.5375,0.0,1.0,1.0,0.0,0.0,0.4329,0.4114,0.64,0.597000002861023,1,1,0,0
69,1.0,60.0,1.0,4.0,263.0,1.0,0.0,0.0,0.0,1.0,0.0783,0.222,0.14,0.053300000727176666,1,1,1,1
70,3.0,24.0,0.0,0.0,7.75,1.0,0.0,0.0,1.0,0.0,0.2636,0.271,0.7182,0.22110000252723694,1,1,0,1
71,3.0,21.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.9195,0.8917,0.98,0.9782000184059143,0,0,0,0
72,3.0,29.0,0.0,0.0,7.925,1.0,0.0,0.0,0.0,1.0,0.5019,0.4315,0.94,0.8277999758720398,0,1,0,0
73,1.0,28.5,0.0,0.0,27.7208,0.0,1.0,1.0,0.0,0.0,0.727,0.3864,0.8,0.8335999846458435,0,1,0,0
74,1.0,35.0,0.0,0.0,211.5,1.0,0.0,1.0,0.0,0.0,0.0468,0.0521,0.0,0.01759999990463257,1,1,1,1
75,1.0,32.5,0.0,0.0,211.5,0.0,1.0,1.0,0.0,0.0,0.4659,0.429,0.74,0.5217999815940857,1,1,0,0
76,3.0,30.272590361445783,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.8781,0.9239,1.0,0.8521999716758728,0,0,0,0
77,1.0,55.0,2.0,0.0,25.7,1.0,0.0,0.0,0.0,1.0,0.1284,0.2734,0.34,0.11819999665021896,1,1,1,1
78,2.0,30.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.8875,0.7753,1.0,0.8413000106811523,0,0,0,0
79,3.0,24.0,0.0,0.0,7.75,1.0,0.0,0.0,1.0,0.0,0.2636,0.271,0.7182,0.22110000252723694,1,1,0,1
80,3.0,6.0,1.0,1.0,15.2458,0.0,1.0,1.0,0.0,0.0,0.1514,0.8031,0.16,0.09189999848604202,1,0,1,1
81,1.0,67.0,1.0,0.0,221.7792,0.0,1.0,0.0,0.0,1.0,0.8253,0.8701,0.66,0.733299970626831,0,0,0,0
82,1.0,49.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.6696,0.6871,0.64,0.7921000123023987,0,0,0,0
83,3.0,30.272590361445783,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.9197,0.9239,1.0,0.9488999843597412,0,0,0,0
84,2.0,30.272590361445783,0.0,0.0,10.7083,0.0,1.0,0.0,1.0,0.0,0.8477,0.6781,0.98,0.828499972820282,0,0,0,0
85,3.0,30.272590361445783,1.0,0.0,14.4542,0.0,1.0,1.0,0.0,0.0,0.9174,0.9211,0.88,0.9297999739646912,0,0,0,0
86,3.0,27.0,0.0,0.0,7.8792,1.0,0.0,0.0,1.0,0.0,0.2032,0.2965,0.02,0.0925000011920929,1,1,1,1
87,3.0,18.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,1.0,0.4263,0.3238,0.78,0.18250000476837158,1,1,0,1
88,3.0,30.272590361445783,0.0,0.0,7.75,1.0,0.0,0.0,1.0,0.0,0.3761,0.3258,0.661,0.6223000288009644,1,1,0,0
89,2.0,2.0,1.0,1.0,23.0,0.0,1.0,0.0,0.0,1.0,0.082,0.5945,0.02,0.04560000076889992,1,0,1,1
90,3.0,22.0,1.0,0.0,13.9,1.0,0.0,0.0,0.0,1.0,0.576,0.4461,0.72,0.9677000045776367,0,1,0,0
91,3.0,30.272590361445783,0.0,0.0,7.775,0.0,1.0,0.0,0.0,1.0,0.9477,0.9239,1.0,0.9797999858856201,0,0,0,0
92,1.0,27.0,1.0,2.0,52.0,1.0,0.0,0.0,0.0,1.0,0.0802,0.0709,0.04,0.05220000073313713,1,1,1,1
93,3.0,30.272590361445783,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.8781,0.9239,1.0,0.8521999716758728,0,0,0,0
94,1.0,25.0,0.0,0.0,26.0,0.0,1.0,1.0,0.0,0.0,0.6594,0.3522,0.72,0.6922000050544739,0,1,0,0
95,3.0,25.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0,1.0,0.8885,0.9069,0.92,0.9021000266075134,0,0,0,0
96,1.0,76.0,1.0,0.0,78.85,1.0,0.0,0.0,0.0,1.0,0.0341,0.3899,0.02,0.021700000390410423,1,1,1,1
97,3.0,29.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0,1.0,0.8909,0.9201,0.81,0.9154999852180481,0,0,0,0
98,3.0,20.0,0.0,0.0,7.8542,1.0,0.0,0.0,0.0,1.0,0.5554,0.3424,0.56,0.4546000063419342,0,1,0,1
99,3.0,33.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.8153,0.9316,0.96,0.9460999965667725,0,0,0,0
100,1.0,43.0,1.0,0.0,55.4417,1.0,0.0,1.0,0.0,0.0,0.0848,0.0978,0.0,0.02449999935925007,1,1,1,1
101,2.0,27.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.8999,0.8124,0.88,0.9865000247955322,0,0,0,0
102,3.0,30.272590361445783,0.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.88,1.0,0.9751999974250793,0,0,0,0
103,3.0,26.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0,1.0,0.9321,0.9104,1.0,0.9491999745368958,0,0,0,0
104,3.0,16.0,1.0,1.0,8.5167,1.0,0.0,1.0,0.0,0.0,0.279,0.2899,0.34,0.04749999940395355,1,1,1,1
105,3.0,28.0,0.0,0.0,22.525,0.0,1.0,0.0,0.0,1.0,0.8906,0.917,1.0,0.9901000261306763,0,0,0,0
106,3.0,21.0,0.0,0.0,7.8208,0.0,1.0,0.0,1.0,0.0,0.8612,0.8326,0.6,0.8896999955177307,0,0,0,0
107,3.0,30.272590361445783,0.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.88,1.0,0.9751999974250793,0,0,0,0
108,3.0,30.272590361445783,0.0,0.0,8.7125,0.0,1.0,0.0,0.0,1.0,0.9151,0.9239,0.86,0.8668000102043152,0,0,0,0
109,2.0,18.5,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.8845,0.6807,0.96,0.9388999938964844,0,0,0,0
110,2.0,41.0,0.0,0.0,15.0458,0.0,1.0,1.0,0.0,0.0,0.8833,0.787,0.86,0.9355999827384949,0,0,0,0
111,3.0,30.272590361445783,0.0,0.0,7.7792,1.0,0.0,0.0,1.0,0.0,0.3939,0.3258,0.4645,0.5767999887466431,1,1,1,0
112,1.0,36.0,0.0,0.0,31.6792,1.0,0.0,1.0,0.0,0.0,0.0609,0.0538,0.02,0.010700000450015068,1,1,1,1
113,3.0,18.5,0.0,0.0,7.2833,1.0,0.0,0.0,1.0,0.0,0.1787,0.228,0.64,0.39320001006126404,1,1,0,1
114,1.0,63.0,1.0,0.0,221.7792,1.0,0.0,0.0,0.0,1.0,0.0499,0.272,0.0,0.03720000013709068,1,1,1,1
115,3.0,18.0,1.0,0.0,14.4542,0.0,1.0,1.0,0.0,0.0,0.9018,0.8748,0.74,0.9467999935150146,0,0,0,0
116,3.0,30.272590361445783,0.0,0.0,6.4375,0.0,1.0,1.0,0.0,0.0,0.9161,0.8914,1.0,0.9593999981880188,0,0,0,0
117,3.0,1.0,1.0,1.0,16.7,1.0,0.0,0.0,0.0,1.0,0.1519,0.2439,0.16,0.09950000047683716,1,1,1,1
118,1.0,36.0,0.0,0.0,75.2417,0.0,1.0,1.0,0.0,0.0,0.4599,0.4635,0.74,0.5157999992370605,1,1,0,0
119,2.0,29.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,0.1438,0.2368,0.0,0.15809999406337738,1,1,1,1
120,2.0,12.0,0.0,0.0,15.75,1.0,0.0,0.0,0.0,1.0,0.0812,0.0967,0.176,0.060600001364946365,1,1,1,1
121,3.0,30.272590361445783,1.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.9125,1.0,0.960099995136261,0,0,0,0
122,1.0,35.0,1.0,0.0,57.75,1.0,0.0,1.0,0.0,0.0,0.055,0.072,0.0,0.006899999920278788,1,1,1,1
123,3.0,28.0,0.0,0.0,7.25,0.0,1.0,0.0,0.0,1.0,0.9244,0.9169,0.96,0.935699999332428,0,0,0,0
124,3.0,30.272590361445783,0.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.88,1.0,0.9751999974250793,0,0,0,0
125,3.0,17.0,0.0,1.0,16.1,1.0,0.0,0.0,0.0,1.0,0.4238,0.307,0.2,0.15549999475479126,1,1,1,1
126,3.0,22.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0,1.0,0.8885,0.8957,0.82,0.8991000056266785,0,0,0,0
127,3.0,30.272590361445783,2.0,0.0,23.25,1.0,0.0,0.0,1.0,0.0,0.4822,0.4945,0.28,0.12430000305175781,1,1,1,1
128,2.0,42.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.8781,0.8507,0.684,0.8004999756813049,0,0,0,0
129,3.0,24.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.8773,0.9033,1.0,0.9824000000953674,0,0,0,0
130,3.0,32.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.7542,0.9288,0.265,0.5235000252723694,0,0,1,0
131,1.0,53.0,0.0,0.0,28.5,0.0,1.0,1.0,0.0,0.0,0.8031,0.6371,0.82,0.9180999994277954,0,0,0,0
132,3.0,30.272590361445783,0.0,4.0,25.4667,1.0,0.0,0.0,0.0,1.0,0.7107,0.4091,0.86,0.7178000211715698,0,1,0,0
133,3.0,30.272590361445783,1.0,0.0,6.4375,0.0,1.0,1.0,0.0,0.0,0.9161,0.9211,0.96,0.9369000196456909,0,0,0,0
134,3.0,43.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.9177,0.9539,0.96,0.9605000019073486,0,0,0,0
135,3.0,24.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0,1.0,0.9148,0.9033,1.0,0.9545000195503235,0,0,0,0
136,3.0,26.5,0.0,0.0,7.225,0.0,1.0,1.0,0.0,0.0,0.8826,0.8752,0.92,0.353300005197525,0,0,0,1
137,2.0,26.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.9197,0.7448,1.0,0.9772999882698059,0,0,0,0
138,3.0,23.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,1.0,0.4902,0.3712,0.86,0.9121999740600586,1,1,0,0
139,3.0,40.0,1.0,6.0,46.9,0.0,1.0,0.0,0.0,1.0,0.8027,0.9543,0.98,0.9261000156402588,0,0,0,0
140,3.0,10.0,5.0,2.0,46.9,1.0,0.0,0.0,0.0,1.0,0.9299,0.6499,0.96,0.9825999736785889,0,0,0,0
141,1.0,33.0,0.0,0.0,151.55,1.0,0.0,0.0,0.0,1.0,0.0636,0.0694,0.0,0.023000000044703484,1,1,1,1
142,1.0,61.0,1.0,3.0,262.375,0.0,1.0,1.0,0.0,0.0,0.6681,0.7599,0.84,0.7145000100135803,0,0,0,0
143,2.0,28.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.8973,0.7605,1.0,0.9868999719619751,0,0,0,0
144,1.0,42.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0,1.0,0.7159,0.621,0.55,0.28209999203681946,0,0,0,1
145,3.0,31.0,3.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,0.9105,0.973,0.96,0.9611999988555908,0,0,0,0
146,1.0,30.272590361445783,0.0,0.0,51.8625,0.0,1.0,0.0,0.0,1.0,0.6662,0.5011,1.0,0.8871999979019165,0,0,0,0
147,3.0,22.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,0.8773,0.8957,1.0,0.9761999845504761,0,0,0,0
148,1.0,30.272590361445783,0.0,0.0,26.55,0.0,1.0,0.0,0.0,1.0,0.7177,0.5007,0.5567,0.42179998755455017,0,0,0,1
149,2.0,30.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,1.0,0.8882,0.8256,0.8,0.9682999849319458,0,0,0,0
150,1.0,23.0,0.0,1.0,83.1583,1.0,0.0,1.0,0.0,0.0,0.0585,0.0309,0.0,0.007300000172108412,1,1,1,1
151,3.0,30.272590361445783,0.0,0.0,7.8958,0.0,1.0,1.0,0.0,0.0,0.8794,0.8914,0.96,0.8762999773025513,0,0,0,0
152,3.0,60.5,0.0,0.0,35.627188489208635,0.0,1.0,0.0,0.0,1.0,0.9098,0.9773,0.78,0.8489000201225281,0,0,0,0
153,3.0,36.0,0.0,2.0,12.1833,1.0,0.0,0.0,0.0,1.0,0.5962,0.4861,0.42,0.7425000071525574,0,1,1,0
154,3.0,13.0,4.0,2.0,31.3875,0.0,1.0,0.0,0.0,1.0,0.9206,0.9573,0.94,0.9674000144004822,0,0,0,0
155,3.0,24.0,0.0,0.0,7.55,0.0,1.0,0.0,0.0,1.0,0.9092,0.9033,0.96,0.9340999722480774,0,0,0,0
156,1.0,29.0,0.0,0.0,221.7792,1.0,0.0,0.0,0.0,1.0,0.0749,0.0595,0.0,0.053300000727176666,1,1,1,1
157,3.0,23.0,0.0,0.0,7.8542,1.0,0.0,0.0,0.0,1.0,0.5401,0.3712,0.52,0.7026000022888184,0,1,0,0
158,1.0,42.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0,1.0,0.7159,0.621,0.55,0.28209999203681946,0,0,0,1
159,3.0,26.0,0.0,2.0,13.775,1.0,0.0,0.0,0.0,1.0,0.6707,0.3837,0.28,0.5882999897003174,0,1,1,0
160,3.0,30.272590361445783,0.0,0.0,7.7333,1.0,0.0,0.0,1.0,0.0,0.3761,0.3258,0.528,0.5347999930381775,1,1,0,0
161,3.0,7.0,1.0,1.0,15.2458,0.0,1.0,1.0,0.0,0.0,0.2234,0.8096,0.18,0.14880000054836273,1,0,1,1
162,2.0,26.0,0.0,0.0,13.5,1.0,0.0,0.0,0.0,1.0,0.2317,0.1613,0.28,0.265500009059906,1,1,1,1
163,3.0,30.272590361445783,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.9522,0.9239,0.8,0.9671000242233276,0,0,0,0
164,2.0,41.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.8781,0.8453,0.709,0.8889999985694885,0,0,0,0
165,3.0,26.0,1.0,1.0,22.025,1.0,0.0,0.0,0.0,1.0,0.5952,0.4788,0.44,0.9254000186920166,0,1,1,0
166,1.0,48.0,0.0,0.0,50.4958,0.0,1.0,1.0,0.0,0.0,0.5171,0.5877,0.5,0.7210000157356262,0,0,0,0
167,3.0,18.0,2.0,2.0,34.375,0.0,1.0,0.0,0.0,1.0,0.9344,0.9319,0.96,0.9735999703407288,0,0,0,0
168,1.0,30.272590361445783,0.0,0.0,27.7208,1.0,0.0,1.0,0.0,0.0,0.0758,0.0428,0.06,0.04470000043511391,1,1,1,1
169,3.0,22.0,0.0,0.0,8.9625,1.0,0.0,0.0,0.0,1.0,0.5653,0.3615,0.86,0.9420999884605408,0,1,0,0
170,3.0,30.272590361445783,0.0,0.0,7.55,0.0,1.0,0.0,0.0,1.0,0.9477,0.9239,1.0,0.9837999939918518,0,0,0,0
171,3.0,27.0,0.0,0.0,7.225,0.0,1.0,1.0,0.0,0.0,0.7566,0.8774,0.88,0.353300005197525,0,0,0,1
172,3.0,23.0,1.0,0.0,13.9,0.0,1.0,0.0,0.0,1.0,0.9179,0.9272,1.0,0.9966999888420105,0,0,0,0
173,3.0,30.272590361445783,0.0,0.0,7.2292,0.0,1.0,1.0,0.0,0.0,0.9085,0.8914,0.936,0.953499972820282,0,0,0,0
174,3.0,40.0,1.0,5.0,31.3875,0.0,1.0,0.0,0.0,1.0,0.7558,0.9558,1.0,0.8036999702453613,0,0,0,0
175,2.0,15.0,0.0,2.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0892,0.1015,0.04,0.021900000050663948,1,1,1,1
176,2.0,20.0,0.0,0.0,36.75,1.0,0.0,0.0,0.0,1.0,0.1162,0.1303,0.0,0.03449999913573265,1,1,1,1
177,1.0,54.0,1.0,0.0,55.4417,0.0,1.0,1.0,0.0,0.0,0.6987,0.7227,0.54,0.6265000104904175,0,0,0,0
178,2.0,36.0,0.0,3.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0986,0.2078,0.08,0.023399999365210533,1,1,1,1
179,1.0,64.0,0.0,2.0,83.1583,1.0,0.0,1.0,0.0,0.0,0.0639,0.146,0.02,0.04989999905228615,1,1,1,1
180,2.0,30.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.8875,0.7753,1.0,0.8413000106811523,0,0,0,0
181,1.0,37.0,1.0,1.0,83.1583,0.0,1.0,1.0,0.0,0.0,0.5073,0.5527,0.34,0.3555999994277954,0,0,1,1
182,1.0,18.0,1.0,0.0,53.1,1.0,0.0,0.0,0.0,1.0,0.0846,0.0533,0.0,0.04639999940991402,1,1,1,1
183,3.0,30.272590361445783,0.0,0.0,7.75,0.0,1.0,0.0,1.0,0.0,0.913,0.88,1.0,0.9751999974250793,0,0,0,0
184,1.0,27.0,1.0,1.0,247.5208,1.0,0.0,1.0,0.0,0.0,0.0746,0.0513,0.04,0.08460000157356262,1,1,1,1
185,2.0,40.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.8613,0.8398,0.99,0.9380999803543091,0,0,0,0
